"學生代號","W","Lab01","Lab02","Lab03","Lab04","Lab05","Lab06","Lab07","Lab08","Lab09","Lab10","HW1","HW2","HW3","HW4","HW5","Mid","OT","Final","FP","點名","Bonus","總成績","Grade"
"es26dcs107","True","100","100","60","60","60","100","0","0","0","0","81.43","89.25","94.86","0.0","0.0","41.0","0.0","","0.0","","","20.54","E"
"es26dcs108","False","100","100","100","100","100","100","100","60","100","100","95.29","96.5","64.0","98.57","98.71","81.5","100.0","97","112.64","3","1","98.6","A+"
"es26dcs109","False","100","100","100","100","100","100","60","60","100","100","90.57","95.75","98.57","92.36","98.5","92.5","100.0","89","99.0","3","","94.53","A+"
"es26dcs110","False","100","100","60","100","60","60","100","60","100","100","79.86","88.75","95.07","96.36","86.07","62.0","74.93","74","103.61","3","","84.58","A"
"es26dcs111","True","100","60","100","60","60","60","0","0","0","0","74.5","73.25","0.0","0.0","0.0","55.0","0.0","","0.0","","","15.44","E"
"es26dcs112","True","60","100","0","0","0","0","0","0","0","0","63.64","0.0","0.0","0.0","0.0","","0.0","","0.0","","","4.15","E"
"es26dcs113","True","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","","0.0","","0.0","","","0.0","X"
"es26dcs114","False","100","100","60","60","100","100","100","100","60","100","95.5","99.5","99.36","98.14","99.79","84.5","100.0","89","108.11","3","","96.09","A+"
"es26dcs115","True","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","","0.0","","0.0","","","0.0","X"
"es26dcs116","False","100","100","60","60","60","100","100","60","100","88","97.0","87.25","93.36","94.21","97.64","74.0","68.53","87","111.39","3","","90.59","A+"
"es26dcs117","False","100","100","60","60","60","60","100","60","100","100","76.0","91.25","98.93","89.64","87.14","59.5","76.27","85","109.07","3","","87.84","A"
"es26dcs118","False","100","100","60","60","60","60","100","60","100","100","78.79","90.75","81.71","87.21","87.57","47.0","71.2","81","102.0","3","","83.04","A-"
"es26dcs119","True","100","100","100","100","100","0","0","0","0","0","91.93","97.0","0.0","0.0","0.0","44.0","0.0","","0.0","","","17.05","E"
"es26dcs120","False","100","100","60","60","60","100","100","60","100","100","77.07","72.0","95.71","85.86","91.86","45.5","79.2","77","109.96","3","","84.56","A"
"es26dcs121","False","100","100","60","60","60","100","100","100","100","100","78.57","72.5","79.79","86.07","77.14","68.0","65.07","80","109.29","3","","84.52","A"
"es26dcs122","False","100","100","60","60","60","100","100","100","100","100","85.43","91.0","97.21","95.93","82.21","54.0","100.0","76","101.36","3","","87.13","A"
"es26dcs123","False","100","100","100","60","60","100","100","60","100","100","76.21","94.25","87.79","87.71","85.21","80.5","77.07","78","101.39","3","","86.52","A"
"es26dcs124","True","100","100","100","60","60","60","100","100","100","0","93.79","93.75","75.36","88.43","10.0","56.0","0.0","","0.0","","","29.41","E"
"es26dcs125","False","100","100","60","60","60","60","100","60","100","100","87.36","78.0","98.07","90.43","84.79","61.0","100.0","92","107.71","3","","91.48","A+"
"es26dcs126","True","100","60","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","","0.0","","0.0","","","1.6","E"
"es26dcs127","False","100","100","60","100","60","60","100","100","100","88","77.93","78.5","96.14","93.14","82.86","31.5","100.0","81","69.88","3","","79.07","B+"
"es26dcs128","True","100","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","","0.0","","0.0","","","1.0","E"
"es26dcs129","False","100","100","60","60","60","60","0","60","100","100","89.07","80.25","90.57","85.29","88.21","52.5","68.0","70","108.68","3","","81.01","A-"
"es26dcs130","True","100","100","60","60","0","0","0","0","0","0","77.29","71.75","0.0","0.0","0.0","","0.0","","0.0","","","9.88","E"
"es26dcs131","False","100","100","60","100","60","100","100","100","100","100","88.86","81.5","76.43","86.71","83.07","69.0","62.93","51","100.43","3","","76.79","B+"
"es26dcs132","False","100","100","60","100","60","100","100","100","100","100","82.21","94.0","78.14","83.71","85.64","68.5","70.13","68","104.07","3","","82.87","A-"
"es26dcs133","True","100","100","100","100","60","100","100","0","0","0","86.5","91.75","81.14","0.0","0.0","63.5","0.0","","0.0","","","23.78","E"
"es26dcs134","False","100","100","100","60","60","100","100","100","100","100","84.93","72.5","53.84","91.0","91.64","77.0","77.33","83","105.71","3","","86.83","A"
"es26dcs135","True","100","100","60","100","0","0","0","0","0","0","88.21","0.0","0.0","0.0","0.0","","0.0","","0.0","","","7.13","E"
"es26dcs136","False","100","100","60","60","60","60","100","100","100","30","81.57","80.5","99.14","82.43","53.97","41.0","78.67","55","103.32","3","","75.33","B"
"es26dcs137","True","100","100","60","100","60","0","0","0","0","0","77.5","91.5","0.0","0.0","0.0","23.0","0.0","","0.0","","","13.72","E"
"es26dcs138","True","100","100","100","100","60","100","0","0","0","0","79.64","97.5","54.36","0.0","0.0","42.0","0.0","","0.0","","","19.74","E"
"es26dcs139","True","100","100","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","","0.0","","0.0","","","2.0","E"
"es26dcs140","False","100","100","60","100","60","60","100","100","100","100","74.64","83.0","81.43","89.07","88.43","86.0","100.0","87","101.93","3","","90.9","A+"
"es26dcs141","True","100","60","60","100","0","0","0","0","0","0","79.43","70.0","0.0","0.0","0.0","","0.0","","0.0","","","9.88","E"
"es26dcs142","True","100","60","60","60","0","0","0","0","0","0","84.36","74.0","0.0","0.0","0.0","","0.0","","0.0","","","9.87","E"
"es26dcs143","False","100","100","100","100","60","100","100","60","100","100","86.29","97.25","63.23","94.0","54.34","66.5","100.0","97","112.04","3","","93.07","A+"
"es26dcs144","True","100","100","60","60","60","0","0","0","0","0","85.86","77.25","86.93","0.0","0.0","79.0","0.0","","0.0","","","21.76","E"
"es26dcs145","False","100","100","60","60","60","100","100","60","100","100","94.21","96.75","88.0","97.0","92.29","76.5","74.67","91","111.75","3","","92.56","A+"
"es26dcs146","False","100","100","60","100","60","100","100","100","100","100","77.57","99.25","88.64","97.43","95.71","56.0","72.27","79","105.43","3","","86.9","A"
"es26dcs147","False","100","100","100","60","0","100","100","100","100","100","80.93","69.0","92.5","81.14","93.14","44.0","73.6","46","106.61","3","","75.33","B"
"es26dcs148","False","100","100","100","60","60","0","100","60","60","100","37.03","66.25","94.21","89.86","79.5","75.0","100.0","93","71.0","3","","81.82","A-"
"es26dcs149","True","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","","0.0","","0.0","","","0.0","X"
"es26dcs150","False","100","100","60","60","60","100","100","100","60","100","86.71","82.75","91.0","77.21","82.5","44.5","60.53","36","102.54","3","","70.66","B-"
"es26dcs151","False","100","100","100","100","100","100","100","100","100","100","93.36","94.5","96.79","98.5","94.21","76.5","80.0","94","114.46","3","","96.45","A+"
"es26dcs152","False","100","100","60","60","60","100","100","60","60","100","73.43","84.75","60.14","83.57","90.79","68.0","67.47","75","96.79","3","","80.19","A-"
"es26dcs153","False","100","100","60","100","100","60","100","60","100","100","97.43","100.0","99.79","99.79","100.0","81.0","100.0","95","115.0","3","3","101.91","A+"
"es26dcs154","True","100","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","","0.0","","0.0","","","1.0","E"
"es26dcs155","True","100","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","","0.0","","0.0","","","1.0","E"
"es26dcs156","False","100","100","60","100","60","100","100","100","100","100","73.0","70.75","90.79","90.36","95.5","69.5","100.0","81","107.64","3","","89.83","A+"
